Code,Name,Image
A1,រូបហាង កាត ,no_image.png
B1,រូបStudioហាង,no_image.png
C1,រូបថតផ្ដិត  ,no_image.png
D1,ព្រីនUV  ,no_image.png
E1,ព្រីនfujixexor ,no_image.png
F1,Fuji Print,no_image.png
G1,សេវាកម្ម  ,no_image.png
H1,ឧបករណ៏ម៉ាស៊ីនព្រីនUV  ,no_image.png
I1, កាសែត,no_image.png
J1,ថ្ម / ឆ្នាំងសាក់  ,no_image.png
K1,ម៉ាស៊ីនថត  ,no_image.png
L1,ឧបករណ៏ ម៉ាស៊ីនថត  ,no_image.png
M1,ឧបករណ៏កុំព្យួទ័រ  ,no_image.png
N1,សៀវភៅដ឵ក់ រូបថត  ,no_image.png
O1,ស៊ុំរូបថត  ,no_image.png
P1,ក្រដាស់  ,no_image.png
Q1,ឧបករណ៏ ម៉ាស៊ីន  ,no_image.png
R1,ស្តុកព្រីនUV  ,no_image.png
S1,ឧបករណ៏ Fujixerox,no_image.png
T1,ឧបករណ៏ស៊ុំឈើ,no_image.png
U1,អាល់ប៊ុមពិសេស,no_image.png
V1,ឧបករណ៏ ស៊ុមរូបថតសុពា្ញកាស   ,no_image.png
